[load] 16.46 GB
  math500 10/100: 9 ok
  math500 20/100: 18 ok
  math500 30/100: 26 ok
  math500 40/100: 35 ok
  math500 50/100: 40 ok
  math500 60/100: 45 ok
  math500 70/100: 52 ok
  math500 80/100: 54 ok
  math500 90/100: 58 ok
  math500 100/100: 64 ok
[math500] 64/100 = 64%
  mbpp 10/100: 5 ok
  mbpp 20/100: 13 ok
  mbpp 30/100: 23 ok
  mbpp 40/100: 31 ok
  mbpp 50/100: 39 ok
  mbpp 60/100: 47 ok
  mbpp 70/100: 56 ok
  mbpp 80/100: 63 ok
  mbpp 90/100: 73 ok
  mbpp 100/100: 81 ok
[mbpp] 81/100 = 81%
[mem] peak 17.91 GB
=== 80B HARD OK ===
[load] 16.46 GB
  mmlu 50/500: 44 ok
  mmlu 100/500: 89 ok
  mmlu 150/500: 130 ok
  mmlu 200/500: 171 ok
  mmlu 250/500: 213 ok
  mmlu 300/500: 255 ok
  mmlu 350/500: 301 ok
  mmlu 400/500: 343 ok
  mmlu 450/500: 383 ok
  mmlu 500/500: 426 ok
[mmlu] 426/500 = 85%
  lambada 100/500: 76 ok
  lambada 200/500: 149 ok
  lambada 300/500: 227 ok
  lambada 400/500: 306 ok
  lambada 500/500: 391 ok
[lambada] 391/500 = 78%
[mem] peak 17.52 GB
=== 80B WIDE OK ===
