Fetching 15 files:   0%|          | 0/15 [00:00<?, ?it/s]Fetching 15 files: 100%|██████████| 15/15 [00:00<00:00, 2212.34it/s]
[load] 15.13 GB
  math500 10/100: 10 ok
  math500 20/100: 19 ok
  math500 30/100: 26 ok
  math500 40/100: 33 ok
  math500 50/100: 36 ok
  math500 60/100: 42 ok
  math500 70/100: 43 ok
  math500 80/100: 45 ok
  math500 90/100: 48 ok
  math500 100/100: 55 ok
[math500] 55/100 = 55%
  mbpp 10/100: 4 ok
  mbpp 20/100: 12 ok
  mbpp 30/100: 22 ok
  mbpp 40/100: 29 ok
  mbpp 50/100: 38 ok
  mbpp 60/100: 45 ok
  mbpp 70/100: 53 ok
  mbpp 80/100: 59 ok
  mbpp 90/100: 66 ok
  mbpp 100/100: 76 ok
[mbpp] 76/100 = 76%
[mem] peak 16.86 GB
Fetching 15 files:   0%|          | 0/15 [00:00<?, ?it/s]Fetching 15 files: 100%|██████████| 15/15 [00:00<00:00, 2165.06it/s]
[load] 15.13 GB
  mmlu 50/500: 44 ok
  mmlu 100/500: 87 ok
  mmlu 150/500: 127 ok
  mmlu 200/500: 169 ok
  mmlu 250/500: 212 ok
  mmlu 300/500: 252 ok
  mmlu 350/500: 295 ok
  mmlu 400/500: 335 ok
  mmlu 450/500: 379 ok
  mmlu 500/500: 419 ok
[mmlu] 419/500 = 84%
  lambada 100/500: 71 ok
  lambada 200/500: 141 ok
  lambada 300/500: 209 ok
  lambada 400/500: 283 ok
  lambada 500/500: 357 ok
[lambada] 357/500 = 71%
[mem] peak 16.48 GB
Fetching 12 files:   0%|          | 0/12 [00:00<?, ?it/s]Fetching 12 files: 100%|██████████| 12/12 [00:00<00:00, 2376.71it/s]
[load] 12.08 GB
  math500 10/100: 10 ok
  math500 20/100: 19 ok
  math500 30/100: 28 ok
  math500 40/100: 38 ok
  math500 50/100: 45 ok
  math500 60/100: 52 ok
  math500 70/100: 60 ok
  math500 80/100: 63 ok
  math500 90/100: 67 ok
  math500 100/100: 72 ok
[math500] 72/100 = 72%
  mbpp 10/100: 4 ok
  mbpp 20/100: 11 ok
  mbpp 30/100: 21 ok
  mbpp 40/100: 28 ok
  mbpp 50/100: 36 ok
  mbpp 60/100: 44 ok
  mbpp 70/100: 52 ok
  mbpp 80/100: 60 ok
  mbpp 90/100: 69 ok
  mbpp 100/100: 78 ok
[mbpp] 78/100 = 78%
[mem] peak 12.78 GB
Fetching 12 files:   0%|          | 0/12 [00:00<?, ?it/s]Fetching 12 files: 100%|██████████| 12/12 [00:00<00:00, 2379.97it/s]
[load] 12.08 GB
  mmlu 50/500: 0 ok
  mmlu 100/500: 0 ok
  mmlu 150/500: 0 ok
  mmlu 200/500: 0 ok
  mmlu 250/500: 0 ok
  mmlu 300/500: 0 ok
  mmlu 350/500: 0 ok
  mmlu 400/500: 0 ok
  mmlu 450/500: 0 ok
  mmlu 500/500: 0 ok
[mmlu] 0/500 = 0%
  lambada 100/500: 24 ok
  lambada 200/500: 42 ok
  lambada 300/500: 61 ok
  lambada 400/500: 87 ok
  lambada 500/500: 107 ok
[lambada] 107/500 = 21%
[mem] peak 12.60 GB
Fetching 15 files:   0%|          | 0/15 [00:00<?, ?it/s]Fetching 15 files: 100%|██████████| 15/15 [00:00<00:00, 2692.91it/s]
[load] 7.19 GB
  math500 10/100: 10 ok
  math500 20/100: 19 ok
  math500 30/100: 28 ok
  math500 40/100: 36 ok
  math500 50/100: 45 ok
  math500 60/100: 52 ok
  math500 70/100: 57 ok
  math500 80/100: 62 ok
  math500 90/100: 66 ok
  math500 100/100: 72 ok
[math500] 72/100 = 72%
  mbpp 10/100: 5 ok
  mbpp 20/100: 12 ok
  mbpp 30/100: 22 ok
  mbpp 40/100: 31 ok
  mbpp 50/100: 40 ok
  mbpp 60/100: 47 ok
  mbpp 70/100: 56 ok
  mbpp 80/100: 63 ok
  mbpp 90/100: 72 ok
  mbpp 100/100: 81 ok
[mbpp] 81/100 = 81%
[mem] peak 8.30 GB
Fetching 15 files:   0%|          | 0/15 [00:00<?, ?it/s]Fetching 15 files: 100%|██████████| 15/15 [00:00<00:00, 2074.13it/s]
[load] 7.19 GB
  mmlu 50/500: 38 ok
  mmlu 100/500: 75 ok
  mmlu 150/500: 112 ok
  mmlu 200/500: 151 ok
  mmlu 250/500: 183 ok
  mmlu 300/500: 221 ok
  mmlu 350/500: 256 ok
  mmlu 400/500: 291 ok
  mmlu 450/500: 331 ok
  mmlu 500/500: 368 ok
[mmlu] 368/500 = 74%
  lambada 100/500: 67 ok
  lambada 200/500: 134 ok
  lambada 300/500: 203 ok
  lambada 400/500: 275 ok
  lambada 500/500: 344 ok
[lambada] 344/500 = 69%
[mem] peak 7.99 GB
Fetching 10 files:   0%|          | 0/10 [00:00<?, ?it/s]Fetching 10 files: 100%|██████████| 10/10 [00:00<00:00, 2465.64it/s]
