Warning: `hf repo` is deprecated in favor of `hf repos`.
repo_id=jesusluque/qwen3-next-80b-topiary-stream url=https://huggingface.co/jesusluque/qwen3-next-80b-topiary-stream
Found 445 files to upload
Uploading... 256/445 files checked, 0/0 uploaded (0.00B transferred), 0 committed in 0 commit(s)
Uploading... 445/445 files checked, 2/435 uploaded (895MB transferred), 0 committed in 0 commit(s)
Uploading... 445/445 files checked, 6/435 uploaded (2.27GB transferred), 0 committed in 0 commit(s)
Uploading... 445/445 files checked, 9/435 uploaded (3.13GB transferred), 0 committed in 0 commit(s)
Uploading... 445/445 files checked, 16/435 uploaded (4.12GB transferred), 0 committed in 0 commit(s)
Uploading... 445/445 files checked, 41/435 uploaded (5.03GB transferred), 0 committed in 0 commit(s)
Uploading... 445/445 files checked, 47/435 uploaded (5.33GB transferred), 0 committed in 0 commit(s)
Uploading... 445/445 files checked, 48/435 uploaded (6.33GB transferred), 0 committed in 0 commit(s)
Uploading... 445/445 files checked, 54/435 uploaded (7.14GB transferred), 0 committed in 0 commit(s)
Uploading... 445/445 files checked, 59/435 uploaded (8.14GB transferred), 0 committed in 0 commit(s)
Uploading... 445/445 files checked, 70/435 uploaded (9.18GB transferred), 0 committed in 0 commit(s)
Uploading... 445/445 files checked, 92/435 uploaded (9.93GB transferred), 0 committed in 0 commit(s)
Uploading... 445/445 files checked, 95/435 uploaded (10.7GB transferred), 0 committed in 0 commit(s)
Uploading... 445/445 files checked, 98/435 uploaded (12.0GB transferred), 0 committed in 0 commit(s)
Uploading... 445/445 files checked, 105/435 uploaded (13.0GB transferred), 0 committed in 0 commit(s)
Uploading... 445/445 files checked, 116/435 uploaded (14.0GB transferred), 0 committed in 0 commit(s)
Uploading... 445/445 files checked, 131/435 uploaded (14.7GB transferred), 0 committed in 0 commit(s)
Uploading... 445/445 files checked, 143/435 uploaded (15.0GB transferred), 0 committed in 0 commit(s)
Uploading... 445/445 files checked, 149/435 uploaded (15.6GB transferred), 0 committed in 0 commit(s)
Uploading... 445/445 files checked, 151/435 uploaded (16.7GB transferred), 0 committed in 0 commit(s)
Uploading... 445/445 files checked, 157/435 uploaded (17.8GB transferred), 0 committed in 0 commit(s)
Uploading... 445/445 files checked, 164/435 uploaded (18.8GB transferred), 0 committed in 0 commit(s)
Uploading... 445/445 files checked, 170/435 uploaded (19.8GB transferred), 0 committed in 0 commit(s)
Uploading... 445/445 files checked, 178/435 uploaded (20.5GB transferred), 0 committed in 0 commit(s)
Uploading... 445/445 files checked, 205/435 uploaded (21.2GB transferred), 0 committed in 0 commit(s)
Uploading... 445/445 files checked, 207/435 uploaded (22.1GB transferred), 0 committed in 0 commit(s)
Uploading... 445/445 files checked, 209/435 uploaded (23.0GB transferred), 0 committed in 0 commit(s)
Uploading... 445/445 files checked, 218/435 uploaded (24.1GB transferred), 0 committed in 0 commit(s)
Uploading... 445/445 files checked, 225/435 uploaded (24.9GB transferred), 0 committed in 0 commit(s)
Uploading... 445/445 files checked, 231/435 uploaded (25.8GB transferred), 0 committed in 0 commit(s)
Uploading... 445/445 files checked, 257/435 uploaded (26.3GB transferred), 0 committed in 0 commit(s)
Uploading... 445/445 files checked, 257/435 uploaded (26.9GB transferred), 0 committed in 0 commit(s)
Uploading... 445/445 files checked, 260/435 uploaded (28.0GB transferred), 0 committed in 0 commit(s)
Uploading... 445/445 files checked, 269/435 uploaded (29.0GB transferred), 0 committed in 0 commit(s)
Uploading... 445/445 files checked, 275/435 uploaded (30.2GB transferred), 0 committed in 0 commit(s)
Uploading... 445/445 files checked, 295/435 uploaded (31.1GB transferred), 250 committed in 1 commit(s)
Uploading... 445/445 files checked, 308/435 uploaded (31.7GB transferred), 250 committed in 1 commit(s)
Uploading... 445/445 files checked, 310/435 uploaded (32.8GB transferred), 250 committed in 1 commit(s)
Uploading... 445/445 files checked, 317/435 uploaded (33.8GB transferred), 250 committed in 1 commit(s)
